id	county	rate
"21165"	"Menifee County, KY"	8.2
"21011"	"Bath County, KY"	6.5
"21013"	"Bell County, KY"	8.2
"21015"	"Boone County, KY"	3.5
"21017"	"Bourbon County, KY"	4.2
"21019"	"Boyd County, KY"	7.2
"21023"	"Bracken County, KY"	5.5
"21025"	"Breathitt County, KY"	8.7
"42019"	"Butler County, PA"	4.8
"21193"	"Perry County, KY"	9.5
"21037"	"Campbell County, KY"	3.5
"42031"	"Clarion County, PA"	5.7
"21043"	"Carter County, KY"	8.5
"42039"	"Crawford County, PA"	5.5
"21049"	"Clark County, KY"	4.4
"21051"	"Clay County, KY"	9.7
"21173"	"Montgomery County, KY"	5.6
"42049"	"Erie County, PA"	6.5
"42051"	"Fayette County, PA"	8.0
"42053"	"Forest County, PA"	7.4
"21063"	"Elliott County, KY"	8.4
"21065"	"Estill County, KY"	5.2
"21175"	"Morgan County, KY"	6.8
"21069"	"Fleming County, KY"	5.1
"21071"	"Floyd County, KY"	10.5
"42065"	"Jefferson County, PA"	6.7
"21079"	"Garrard County, KY"	4.4
"39001"	"Adams County, OH"	7.2
"39003"	"Allen County, OH"	4.4
"39005"	"Ashland County, OH"	4.8
"39007"	"Ashtabula County, OH"	6.1
"39009"	"Athens County, OH"	5.5
"39011"	"Auglaize County, OH"	3.3
"39013"	"Belmont County, OH"	8.1
"21195"	"Pike County, KY"	10.0
"21095"	"Harlan County, KY"	10.9
"39017"	"Butler County, OH"	4.3
"42063"	"Indiana County, PA"	6.6
"39019"	"Carroll County, OH"	6.9
"39021"	"Champaign County, OH"	4.0
"39023"	"Clark County, OH"	4.9
"39025"	"Clermont County, OH"	4.2
"39027"	"Clinton County, OH"	5.7
"21109"	"Jackson County, KY"	7.2
"39031"	"Coshocton County, OH"	6.5
"39033"	"Crawford County, OH"	5.5
"39035"	"Cuyahoga County, OH"	5.0
"39037"	"Darke County, OH"	3.9
"39039"	"Defiance County, OH"	5.1
"21121"	"Knox County, KY"	7.2
"39043"	"Erie County, OH"	5.3
"21125"	"Laurel County, KY"	5.6
"21127"	"Lawrence County, KY"	9.1
"21129"	"Lee County, KY"	8.4
"21131"	"Leslie County, KY"	11.6
"21133"	"Letcher County, KY"	10.7
"39055"	"Geauga County, OH"	4.0
"42129"	"Westmoreland County, PA"	5.6
"39059"	"Guernsey County, OH"	7.2
"39061"	"Hamilton County, OH"	4.2
"39063"	"Hancock County, OH"	3.4
"39065"	"Hardin County, OH"	4.3
"21147"	"McCreary County, KY"	7.1
"39069"	"Henry County, OH"	5.8
"21151"	"Madison County, KY"	3.7
"21153"	"Magoffin County, KY"	15.8
"39075"	"Holmes County, OH"	3.3
"39077"	"Huron County, OH"	6.1
"21159"	"Martin County, KY"	9.2
"21161"	"Mason County, KY"	5.4
"39083"	"Knox County, OH"	4.2
"39085"	"Lake County, OH"	4.3
"39087"	"Lawrence County, OH"	6.5
"39089"	"Licking County, OH"	4.2
"39091"	"Logan County, OH"	4.0
"39093"	"Lorain County, OH"	5.5
"39095"	"Lucas County, OH"	4.9
"39097"	"Madison County, OH"	3.7
"39099"	"Mahoning County, OH"	6.2
"21181"	"Nicholas County, KY"	5.0
"39029"	"Columbiana County, OH"	6.6
